Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FMNL22	0.001076252	0.362313094	0.687	0.536	1	Exc_6	FMNL2
RBFOX35	0.001112749	0.319752956	0.663	0.484	1	Exc_6	RBFOX3
SCN8A1	0.001131319	0.33903803	0.518	0.348	1	Exc_6	SCN8A
KCNC11	0.001142624	0.391960959	0.253	0.131	1	Exc_6	KCNC1
ANKRD11	0.001146376	0.331016065	0.47	0.314	1	Exc_6	ANKRD11
GAPVD1	0.001146942	0.346465485	0.337	0.196	1	Exc_6	GAPVD1
SGSM2	0.001203724	0.338649374	0.301	0.165	1	Exc_6	SGSM2
FRYL1	0.001225488	0.334755473	0.422	0.264	1	Exc_6	FRYL
DYNC1I12	0.001309189	0.27290256	0.602	0.429	1	Exc_6	DYNC1I1
MYO9B	0.001320307	0.381977901	0.253	0.13	1	Exc_6	MYO9B
TIAM21	0.001345817	0.386387917	0.386	0.235	1	Exc_6	TIAM2
MAPK8IP31	0.001504649	0.444594658	0.434	0.292	1	Exc_6	MAPK8IP3
BASP12	0.001538695	0.443528567	0.386	0.245	1	Exc_6	BASP1
MCF2L2	0.001606976	0.331058593	0.518	0.357	1	Exc_6	MCF2L2
SIDT11	0.001623937	0.411472944	0.289	0.163	1	Exc_6	SIDT1
CTNNA1	0.00165466	0.490117518	0.265	0.15	1	Exc_6	CTNNA1
CUX22	0.001655955	0.445762	0.422	0.281	1	Exc_6	CUX2
PTPRO3	0.001723896	0.325870828	0.458	0.294	1	Exc_6	PTPRO
RALGAPB	0.001739005	0.361093214	0.253	0.135	1	Exc_6	RALGAPB
NEDD4L2	0.001746439	0.25285346	0.494	0.315	1	Exc_6	NEDD4L
NFASC3	0.001748331	0.341238039	0.422	0.284	1	Exc_6	NFASC
NCOA71	0.001828689	0.27121743	0.301	0.165	1	Exc_6	NCOA7
RAB6A	0.001867076	0.297679338	0.446	0.277	1	Exc_6	RAB6A
SRGAP3	0.00188928	0.29800941	0.651	0.523	1	Exc_6	SRGAP3
GGT7	0.001970009	0.320392856	0.337	0.193	1	Exc_6	GGT7
MAP1B3	0.002084528	0.357305894	0.554	0.392	1	Exc_6	MAP1B
ACAP33	0.00216713	0.30714388	0.458	0.292	1	Exc_6	ACAP3
SOBP1	0.00223199	0.328451443	0.494	0.352	1	Exc_6	SOBP
ARFGEF2	0.002310544	0.390002398	0.386	0.242	1	Exc_6	ARFGEF2
ABHD2	0.002447339	0.337989745	0.337	0.196	1	Exc_6	ABHD2
ROCK21	0.002459506	0.376477324	0.458	0.307	1	Exc_6	ROCK2
INSR1	0.002551852	0.356563552	0.398	0.267	1	Exc_6	INSR
ATF6	0.0026269	0.384097054	0.253	0.138	1	Exc_6	ATF6
OLFM31	0.002662512	0.304478093	0.458	0.303	1	Exc_6	OLFM3
ATE1	0.002807475	0.321165691	0.253	0.136	1	Exc_6	ATE1
DYNC1H11	0.00292479	0.397862403	0.446	0.294	1	Exc_6	DYNC1H1
MBOAT21	0.002976818	0.338117302	0.361	0.219	1	Exc_6	MBOAT2
TCF251	0.003140811	0.36756074	0.494	0.349	1	Exc_6	TCF25
MMP171	0.003270617	0.391933968	0.265	0.149	1	Exc_6	MMP17
MED27	0.003280096	0.370144341	0.313	0.188	1	Exc_6	MED27
VPS9D1	0.003579647	0.375714467	0.277	0.163	1	Exc_6	VPS9D1
EFNA51	0.003757993	0.289925917	0.518	0.363	1	Exc_6	EFNA5
CAMKV3	0.003964321	0.265684233	0.301	0.175	1	Exc_6	CAMKV
SLC17A72	0.003994961	0.353721883	0.289	0.169	1	Exc_6	SLC17A7
SH3GL33	0.00416703	0.325611826	0.482	0.351	1	Exc_6	SH3GL3
SLC2A133	0.004282626	0.295369306	0.518	0.389	1	Exc_6	SLC2A13
NISCH2	0.004351915	0.447137939	0.277	0.162	1	Exc_6	NISCH
LMO41	0.004482603	0.368821524	0.253	0.142	1	Exc_6	LMO4
PIP5K1A	0.004597686	0.358637931	0.337	0.218	1	Exc_6	PIP5K1A
CC2D1A2	0.004623045	0.279949515	0.361	0.223	1	Exc_6	CC2D1A
ELMO11	0.004696952	0.278599278	0.386	0.25	1	Exc_6	ELMO1
BDP11	0.004702376	0.375113047	0.386	0.258	1	Exc_6	BDP1
LARGE2	0.004719909	0.303199179	0.759	0.651	1	Exc_6	LARGE
KCNB12	0.005541581	0.2769267	0.434	0.285	1	Exc_6	KCNB1
ATP2B14	0.006096493	0.281121215	0.627	0.467	1	Exc_6	ATP2B1
MCTP15	0.006099457	0.311678508	0.542	0.417	1	Exc_6	MCTP1
PPIG	0.006101776	0.291088301	0.325	0.197	1	Exc_6	PPIG
COPA	0.00616798	0.385837888	0.253	0.15	1	Exc_6	COPA
PDZRN32	0.006482462	0.294818295	0.47	0.332	1	Exc_6	PDZRN3
HSP90AA11	0.006486873	0.354999922	0.313	0.187	1	Exc_6	HSP90AA1
LRRN22	0.006608287	0.300760362	0.253	0.145	1	Exc_6	LRRN2
ACSL31	0.006666874	0.292980908	0.349	0.225	1	Exc_6	ACSL3
PACSIN11	0.007301163	0.262875208	0.277	0.161	1	Exc_6	PACSIN1
TAOK1	0.007468094	0.276558601	0.482	0.347	1	Exc_6	TAOK1
CCNY1	0.007580469	0.295016617	0.373	0.247	1	Exc_6	CCNY
TMEM1811	0.007847133	0.319282037	0.253	0.148	1	Exc_6	TMEM181
CALN15	0.008132747	0.26739205	0.542	0.397	1	Exc_6	CALN1
KIAA0368	0.008266505	0.338590264	0.349	0.225	1	Exc_6	KIAA0368
ALCAM2	0.008690051	0.259179841	0.373	0.237	1	Exc_6	ALCAM
ZDHHC11B1	0.009893236	0.417729898	0.265	0.16	1	Exc_6	ZDHHC11B
COL22A1	2.01E-118	1.005992012	0.286	0.006	3.34E-114	Exc_7	COL22A1
PLCH11	2.72E-86	1.712398096	0.8	0.095	4.53E-82	Exc_7	PLCH1
ITGA11	3.87E-81	0.973197995	0.257	0.008	6.44E-77	Exc_7	ITGA11
TSHZ21	1.53E-45	1.449738023	0.943	0.248	2.55E-41	Exc_7	TSHZ2
ZNF804B4	9.30E-41	1.347061679	0.786	0.184	1.55E-36	Exc_7	ZNF804B
OTOGL1	4.30E-38	1.208832661	0.5	0.076	7.15E-34	Exc_7	OTOGL
SEMA6D3	8.38E-38	1.256213847	0.757	0.175	1.39E-33	Exc_7	SEMA6D
TCERG1L1	1.16E-34	1.152443405	0.543	0.097	1.92E-30	Exc_7	TCERG1L
PTPRD4	3.38E-34	0.945875385	1	0.933	5.62E-30	Exc_7	PTPRD
LCORL1	4.58E-30	1.183521053	0.614	0.136	7.62E-26	Exc_7	LCORL
CPNE43	3.52E-29	1.212911625	0.786	0.237	5.85E-25	Exc_7	CPNE4
PTPRT4	8.94E-29	1.148124351	0.943	0.448	1.49E-24	Exc_7	PTPRT
MYLK	1.51E-27	0.744789084	0.329	0.043	2.52E-23	Exc_7	MYLK
ADAMTS16	1.26E-25	0.914932594	0.329	0.048	2.10E-21	Exc_7	ADAMTS16
LRRC4C2	4.94E-25	0.954277371	0.986	0.679	8.22E-21	Exc_7	LRRC4C
PCED1B	3.20E-24	0.934741989	0.4	0.072	5.32E-20	Exc_7	PCED1B
SNTG2	4.49E-24	0.799738568	0.286	0.039	7.47E-20	Exc_7	SNTG2
DCC1	5.03E-23	0.995648948	0.857	0.363	8.36E-19	Exc_7	DCC
POU6F24	5.43E-23	1.030359093	0.714	0.226	9.04E-19	Exc_7	POU6F2
PDZRN43	8.89E-23	1.127995157	0.686	0.218	1.48E-18	Exc_7	PDZRN4
MGAT4C3	9.33E-22	0.904912578	0.943	0.486	1.55E-17	Exc_7	MGAT4C
PCBP3	1.97E-21	0.848333257	0.286	0.043	3.28E-17	Exc_7	PCBP3
PLCH2	2.90E-20	0.857439262	0.357	0.068	4.82E-16	Exc_7	PLCH2
C1orf95	1.88E-17	0.643219794	0.286	0.05	3.13E-13	Exc_7	C1orf95
RXFP13	7.27E-17	0.972394784	0.429	0.107	1.21E-12	Exc_7	RXFP1
CDK181	1.44E-16	0.695753347	0.314	0.063	2.40E-12	Exc_7	CDK18
PRKG13	3.77E-16	0.766595438	0.914	0.488	6.27E-12	Exc_7	PRKG1
C8orf342	4.66E-16	0.637171107	0.514	0.143	7.75E-12	Exc_7	C8orf34
FGFR1	6.48E-16	0.648131973	0.314	0.063	1.08E-11	Exc_7	FGFR1
NKPD1	1.49E-15	0.623572267	0.314	0.064	2.47E-11	Exc_7	NKPD1
KCNIP45	1.93E-15	0.517196137	1	0.973	3.21E-11	Exc_7	KCNIP4
KCNB23	2.56E-14	0.854324042	0.714	0.319	4.26E-10	Exc_7	KCNB2
ADGRB31	2.83E-14	0.433128744	1	0.968	4.70E-10	Exc_7	ADGRB3
NEGR14	2.91E-14	0.622822774	0.957	0.76	4.84E-10	Exc_7	NEGR1
FAM19A13	3.25E-14	0.738192046	0.9	0.521	5.40E-10	Exc_7	FAM19A1
GRM73	5.35E-14	0.660020787	0.943	0.567	8.90E-10	Exc_7	GRM7
14-Mar	6.34E-14	0.730607671	0.814	0.451	1.05E-09	Exc_7	1-Mar
RASGEF1C1	1.22E-13	0.675119719	0.3	0.067	2.03E-09	Exc_7	RASGEF1C
KCNH72	1.24E-13	0.811679466	0.814	0.471	2.07E-09	Exc_7	KCNH7
CELF24	1.48E-13	0.53010734	0.957	0.864	2.46E-09	Exc_7	CELF2
SNED14	4.31E-13	0.62468644	0.657	0.253	7.17E-09	Exc_7	SNED1
RGS73	4.85E-13	0.599960038	0.986	0.781	8.07E-09	Exc_7	RGS7
KCNQ34	5.60E-13	0.595322749	0.914	0.549	9.32E-09	Exc_7	KCNQ3
PDE10A4	1.30E-12	0.695642852	0.786	0.427	2.17E-08	Exc_7	PDE10A
RFC3	2.95E-12	0.618001248	0.329	0.086	4.90E-08	Exc_7	RFC3
CNTNAP55	3.74E-12	0.588058625	0.914	0.533	6.23E-08	Exc_7	CNTNAP5
CA103	5.36E-12	0.723190634	0.629	0.263	8.92E-08	Exc_7	CA10
CCDC33	9.54E-12	0.594878396	0.571	0.212	1.59E-07	Exc_7	CCDC3
CELF44	1.12E-11	0.611869591	0.9	0.498	1.86E-07	Exc_7	CELF4
PCDH11X3	1.41E-11	0.716196409	0.657	0.295	2.35E-07	Exc_7	PCDH11X
CACNB43	1.71E-11	0.755279149	0.529	0.199	2.84E-07	Exc_7	CACNB4
PPFIA21	1.77E-11	0.52649092	0.929	0.682	2.94E-07	Exc_7	PPFIA2
ANO33	2.26E-11	0.673667906	0.514	0.188	3.77E-07	Exc_7	ANO3
CFAP46	2.57E-11	0.736752246	0.329	0.093	4.28E-07	Exc_7	CFAP46
SLC44A54	2.64E-11	0.63233333	0.743	0.345	4.39E-07	Exc_7	SLC44A5
HECW14	4.60E-11	0.624933159	0.871	0.475	7.65E-07	Exc_7	HECW1
NTNG11	6.58E-11	0.677828529	0.4	0.128	1.09E-06	Exc_7	NTNG1
PCSK25	9.23E-11	0.76664497	0.786	0.41	1.54E-06	Exc_7	PCSK2
TENM23	1.48E-10	0.466508376	0.986	0.843	2.46E-06	Exc_7	TENM2
ST6GAL2	4.08E-10	0.698496573	0.371	0.123	6.79E-06	Exc_7	ST6GAL2
RNF144A4	4.29E-10	0.593232255	0.614	0.276	7.14E-06	Exc_7	RNF144A
CNTNAP23	4.99E-10	0.280794314	1	0.915	8.29E-06	Exc_7	CNTNAP2
NKAIN24	5.44E-10	0.487459961	0.971	0.78	9.05E-06	Exc_7	NKAIN2
NBEA3	7.51E-10	0.480894517	0.914	0.668	1.25E-05	Exc_7	NBEA
ZMAT44	7.80E-10	0.573460134	0.6	0.255	1.30E-05	Exc_7	ZMAT4
WBSCR172	1.05E-09	0.494371994	0.886	0.526	1.74E-05	Exc_7	WBSCR17
TRHDE3	1.13E-09	0.71523868	0.529	0.22	1.88E-05	Exc_7	TRHDE
FMNL3	1.49E-09	0.589295623	0.314	0.093	2.48E-05	Exc_7	FMNL3
PDZRN33	1.62E-09	0.634557173	0.671	0.33	2.70E-05	Exc_7	PDZRN3
DPYD5	1.66E-09	0.510585101	0.929	0.591	2.75E-05	Exc_7	DPYD
RASAL22	1.80E-09	0.582995852	0.829	0.487	2.99E-05	Exc_7	RASAL2
DMD3	1.81E-09	0.539788325	0.943	0.744	3.02E-05	Exc_7	DMD
TRPC52	2.05E-09	0.52244538	0.329	0.1	3.40E-05	Exc_7	TRPC5
NREP	2.16E-09	0.74448256	0.329	0.103	3.60E-05	Exc_7	NREP
CACNA1A4	2.83E-09	0.51596243	0.929	0.646	4.71E-05	Exc_7	CACNA1A
SYT171	2.95E-09	0.574820293	0.429	0.155	4.90E-05	Exc_7	SYT17
FOXP23	3.05E-09	0.728123798	0.429	0.157	5.07E-05	Exc_7	FOXP2
RORB3	5.49E-09	0.714210588	0.543	0.245	9.14E-05	Exc_7	RORB
FAM155A1	8.95E-09	0.359140538	0.971	0.941	0.000148844	Exc_7	FAM155A
FAM189A13	9.05E-09	0.626432637	0.6	0.275	0.000150579	Exc_7	FAM189A1
ADAMTS193	1.02E-08	0.603245111	0.414	0.157	0.000170305	Exc_7	ADAMTS19
HABP4	1.04E-08	0.522462346	0.3	0.092	0.000173331	Exc_7	HABP4
MAML33	1.07E-08	0.531712023	0.386	0.137	0.000177187	Exc_7	MAML3
CDH82	1.09E-08	0.610323274	0.571	0.268	0.000181796	Exc_7	CDH8
RALYL5	1.16E-08	0.403576744	0.971	0.743	0.000192607	Exc_7	RALYL
CNTN54	1.21E-08	0.349420856	0.943	0.659	0.000201475	Exc_7	CNTN5
CLSTN24	1.38E-08	0.380532664	0.743	0.354	0.000229832	Exc_7	CLSTN2
SORBS23	1.72E-08	0.484384477	0.814	0.476	0.000285999	Exc_7	SORBS2
EPHA7	1.94E-08	0.499173821	0.286	0.087	0.000323279	Exc_7	EPHA7
FOXP12	2.09E-08	0.592348249	0.729	0.42	0.000348454	Exc_7	FOXP1
SCN3A1	3.69E-08	0.608428241	0.586	0.292	0.000613679	Exc_7	SCN3A
SATB24	6.84E-08	0.419199694	0.557	0.244	0.001137808	Exc_7	SATB2
MLIP3	6.86E-08	0.568818165	0.5	0.225	0.001141889	Exc_7	MLIP
IQCJ-SCHIP14	8.08E-08	0.395394038	0.971	0.74	0.001343756	Exc_7	IQCJ-SCHIP1
EFNA52	8.16E-08	0.523095357	0.671	0.361	0.001357615	Exc_7	EFNA5
EPHA42	8.54E-08	0.574670541	0.529	0.239	0.001421045	Exc_7	EPHA4
DCBLD2	9.39E-08	0.547259182	0.286	0.094	0.001561537	Exc_7	DCBLD2
LDLRAD31	1.05E-07	0.556083947	0.314	0.107	0.001745511	Exc_7	LDLRAD3
SLIT15	1.13E-07	0.496598538	0.529	0.244	0.001872547	Exc_7	SLIT1
MLLT31	1.24E-07	0.570218948	0.643	0.348	0.0020708	Exc_7	MLLT3
R3HDM14	1.48E-07	0.397322293	0.943	0.679	0.002457025	Exc_7	R3HDM1
GUCY1A24	1.61E-07	0.58672547	0.571	0.28	0.002673094	Exc_7	GUCY1A2
CSMD14	1.76E-07	0.321377705	1	0.934	0.002935964	Exc_7	CSMD1
SNTG13	2.30E-07	0.441975724	0.9	0.7	0.003830612	Exc_7	SNTG1
KCNT24	3.02E-07	0.42005827	0.486	0.212	0.005022127	Exc_7	KCNT2
MPPED22	3.25E-07	0.581202598	0.443	0.195	0.005410072	Exc_7	MPPED2
LDB22	4.11E-07	0.410178393	0.814	0.475	0.006829861	Exc_7	LDB2
PDE4A	4.91E-07	0.631776809	0.286	0.103	0.0081721	Exc_7	PDE4A
KHDRBS23	5.00E-07	0.431491459	0.871	0.653	0.008317278	Exc_7	KHDRBS2
LRFN53	5.28E-07	0.441030838	0.843	0.548	0.00878826	Exc_7	LRFN5
MSRA3	5.56E-07	0.453165897	0.857	0.609	0.009256556	Exc_7	MSRA
BRINP32	7.43E-07	0.592659584	0.529	0.268	0.012359745	Exc_7	BRINP3
CREB51	8.40E-07	0.415007007	0.357	0.141	0.013980569	Exc_7	CREB5
EPHB2	9.08E-07	0.419608859	0.257	0.085	0.015109151	Exc_7	EPHB2
SLC2A134	1.32E-06	0.474001981	0.686	0.386	0.022001219	Exc_7	SLC2A13
STXBP12	1.94E-06	0.479244847	0.571	0.287	0.032338233	Exc_7	STXBP1
MARK1	2.02E-06	0.409111136	0.486	0.22	0.033645048	Exc_7	MARK1
OLFM32	2.12E-06	0.538493059	0.586	0.301	0.035196111	Exc_7	OLFM3
FAM228B	2.16E-06	0.384700251	0.314	0.117	0.035912559	Exc_7	FAM228B
KIAA1324	2.32E-06	0.517014725	0.357	0.151	0.038524603	Exc_7	KIAA1324
PAK74	2.34E-06	0.456791378	0.529	0.254	0.038930746	Exc_7	PAK7
CPD	2.40E-06	0.445802402	0.286	0.105	0.039947429	Exc_7	CPD
KCNH53	2.44E-06	0.430788311	0.371	0.149	0.040570958	Exc_7	KCNH5
CDH221	2.50E-06	0.394652302	0.329	0.127	0.041602663	Exc_7	CDH22
RIMS24	2.87E-06	0.394652449	0.914	0.724	0.047721051	Exc_7	RIMS2
B4GALNT33	3.31E-06	0.470699746	0.343	0.139	0.05506116	Exc_7	B4GALNT3
KALRN5	4.05E-06	0.313478451	1	0.782	0.067309186	Exc_7	KALRN
NELL25	4.07E-06	0.4423719	0.786	0.494	0.067723399	Exc_7	NELL2
SDF4	4.16E-06	0.418978236	0.257	0.091	0.069186339	Exc_7	SDF4
SYNPO21	4.25E-06	0.458861285	0.271	0.1	0.070639103	Exc_7	SYNPO2
FAM134B2	4.30E-06	0.438580207	0.343	0.143	0.071547908	Exc_7	FAM134B
CAMK1D4	4.56E-06	0.370633765	0.829	0.599	0.075782767	Exc_7	CAMK1D
EXD3	4.76E-06	0.481010502	0.343	0.143	0.079157115	Exc_7	EXD3
SHISA94	4.90E-06	0.420400859	0.814	0.515	0.081594647	Exc_7	SHISA9
GPR1584	5.86E-06	0.535917724	0.529	0.27	0.097485944	Exc_7	GPR158
DSCAM4	6.06E-06	0.287583227	0.943	0.662	0.100828923	Exc_7	DSCAM
SCN2A1	6.41E-06	0.426650337	0.7	0.386	0.106718913	Exc_7	SCN2A
RABGAP1L	7.61E-06	0.449364149	0.743	0.54	0.126594784	Exc_7	RABGAP1L
RYR25	7.74E-06	0.325620781	0.957	0.769	0.128743906	Exc_7	RYR2
NECAB13	8.47E-06	0.526374219	0.529	0.299	0.140994977	Exc_7	NECAB1
MEIS33	9.35E-06	0.509476622	0.357	0.159	0.155626117	Exc_7	MEIS3
KCTD163	9.65E-06	0.415896497	0.814	0.571	0.160508164	Exc_7	KCTD16
CNTN33	1.12E-05	0.369788777	0.586	0.323	0.18562223	Exc_7	CNTN3
DPF3	1.12E-05	0.446331062	0.257	0.097	0.186449577	Exc_7	DPF3
NEO13	1.19E-05	0.461298324	0.486	0.24	0.198560171	Exc_7	NEO1
WBP2NL	1.28E-05	0.371881549	0.3	0.119	0.212296024	Exc_7	WBP2NL
ZNF846	1.29E-05	0.459612719	0.257	0.097	0.214691207	Exc_7	ZNF846
ADGRL23	1.31E-05	0.371318138	0.786	0.521	0.218231322	Exc_7	ADGRL2
FRMD4A2	1.39E-05	0.252361995	1	0.873	0.231846831	Exc_7	FRMD4A
FAM19A23	1.46E-05	0.344377219	0.814	0.544	0.242618629	Exc_7	FAM19A2
JAM31	1.50E-05	0.359526734	0.271	0.103	0.249847359	Exc_7	JAM3
CMSS11	1.52E-05	0.43727463	0.457	0.226	0.252362154	Exc_7	CMSS1
L3MBTL42	1.67E-05	0.386393812	0.414	0.191	0.278484272	Exc_7	L3MBTL4
LRRC72	1.69E-05	0.343446632	0.957	0.788	0.280399413	Exc_7	LRRC7
IQCA11	1.73E-05	0.396271741	0.371	0.164	0.287150764	Exc_7	IQCA1
SERPINI12	1.84E-05	0.469384973	0.357	0.161	0.306537199	Exc_7	SERPINI1
GRIA13	1.89E-05	0.351530383	0.857	0.597	0.315264212	Exc_7	GRIA1
ICA1L	1.92E-05	0.416414246	0.529	0.271	0.319433611	Exc_7	ICA1L
CSMD32	1.93E-05	0.297172853	0.914	0.665	0.321287096	Exc_7	CSMD3
AKT3	1.94E-05	0.382738925	0.857	0.611	0.322561385	Exc_7	AKT3
PRKCB6	2.26E-05	0.319435484	0.843	0.558	0.375832823	Exc_7	PRKCB
RIMS12	2.38E-05	0.373757459	0.8	0.497	0.395202948	Exc_7	RIMS1
CACNA2D12	2.90E-05	0.389816696	0.714	0.444	0.482300151	Exc_7	CACNA2D1
OSBPL31	3.01E-05	0.442618073	0.257	0.1	0.500697195	Exc_7	OSBPL3
VWC2L2	3.02E-05	0.475540956	0.271	0.108	0.502941643	Exc_7	VWC2L
PKNOX24	3.14E-05	0.414218815	0.486	0.263	0.52186004	Exc_7	PKNOX2
FOCAD3	3.19E-05	0.302724038	0.743	0.412	0.531393026	Exc_7	FOCAD
DENND3	3.24E-05	0.41344706	0.271	0.11	0.538498442	Exc_7	DENND3
SGSM21	3.77E-05	0.422161902	0.357	0.165	0.627619017	Exc_7	SGSM2
FBXL22	3.96E-05	0.377883487	0.386	0.179	0.658903431	Exc_7	FBXL2
ZNF248	4.01E-05	0.417679029	0.5	0.262	0.666782624	Exc_7	ZNF248
NIN4	4.15E-05	0.29759822	0.7	0.393	0.690879409	Exc_7	NIN
ST6GALNAC53	4.25E-05	0.323321321	0.714	0.466	0.707667021	Exc_7	ST6GALNAC5
TMEM132D4	4.36E-05	0.352187332	0.8	0.551	0.724684694	Exc_7	TMEM132D
DLGAP24	4.69E-05	0.256175028	1	0.738	0.779813617	Exc_7	DLGAP2
CELF52	5.13E-05	0.38173942	0.643	0.368	0.853256304	Exc_7	CELF5
HDAC93	5.32E-05	0.369756744	0.586	0.336	0.885497611	Exc_7	HDAC9
JMJD1C1	6.68E-05	0.33283111	0.886	0.687	1	Exc_7	JMJD1C
MEF2C5	7.11E-05	0.275714322	0.871	0.674	1	Exc_7	MEF2C
ARPP215	8.06E-05	0.289465465	0.729	0.435	1	Exc_7	ARPP21
PTCHD44	8.55E-05	0.443295107	0.329	0.155	1	Exc_7	PTCHD4
NTRK31	9.02E-05	0.255887921	0.857	0.58	1	Exc_7	NTRK3
NCAM21	9.08E-05	0.259567459	0.943	0.766	1	Exc_7	NCAM2
NPTXR2	9.49E-05	0.324938197	0.329	0.148	1	Exc_7	NPTXR
KCNH13	9.58E-05	0.453002453	0.486	0.272	1	Exc_7	KCNH1
NDFIP1	9.90E-05	0.39168637	0.429	0.21	1	Exc_7	NDFIP1
MAP61	0.000102329	0.379378326	0.271	0.114	1	Exc_7	MAP6
TTC39C3	0.000106929	0.36229141	0.4	0.201	1	Exc_7	TTC39C
BNIP3L	0.000118002	0.43525833	0.257	0.111	1	Exc_7	BNIP3L
RASAL11	0.000119763	0.354954228	0.257	0.107	1	Exc_7	RASAL1
KHDRBS34	0.000121757	0.334558044	0.671	0.411	1	Exc_7	KHDRBS3
XKR44	0.000132097	0.273740385	0.814	0.527	1	Exc_7	XKR4
RTN12	0.000146467	0.443887082	0.6	0.381	1	Exc_7	RTN1
GABRG36	0.000149833	0.331639307	0.714	0.452	1	Exc_7	GABRG3
SLC8A33	0.000165987	0.315470419	0.3	0.13	1	Exc_7	SLC8A3
ANKRD30BL3	0.00017256	0.367762317	0.671	0.391	1	Exc_7	ANKRD30BL
MAPKAP1	0.000181806	0.348059568	0.314	0.147	1	Exc_7	MAPKAP1
SH3GL26	0.000185662	0.327283612	0.557	0.332	1	Exc_7	SH3GL2
SLC22A231	0.000188684	0.367361806	0.4	0.204	1	Exc_7	SLC22A23
SNCA4	0.000221346	0.443491581	0.371	0.189	1	Exc_7	SNCA
DNAH141	0.000227368	0.487870806	0.271	0.128	1	Exc_7	DNAH14
KCNH34	0.000242977	0.313164752	0.4	0.201	1	Exc_7	KCNH3
NPAS2	0.00024976	0.416362105	0.414	0.221	1	Exc_7	NPAS2
NAA35	0.000258977	0.380028228	0.271	0.12	1	Exc_7	NAA35
NBPF15	0.000263827	0.387114733	0.286	0.132	1	Exc_7	NBPF15
FMN14	0.000267694	0.358816762	0.486	0.27	1	Exc_7	FMN1
VEZT	0.000284062	0.432614791	0.429	0.241	1	Exc_7	VEZT
MFSD11	0.000285722	0.494969569	0.286	0.14	1	Exc_7	MFSD11
NME5	0.000330025	0.328715186	0.257	0.114	1	Exc_7	NME5
PRMT2	0.000334332	0.302565035	0.3	0.137	1	Exc_7	PRMT2
TMTC24	0.000342521	0.293818732	0.586	0.342	1	Exc_7	TMTC2
CAMKK13	0.00037008	0.309283792	0.5	0.283	1	Exc_7	CAMKK1
KIAA03192	0.000375947	0.275054338	0.314	0.148	1	Exc_7	KIAA0319
PLCL12	0.000401723	0.346346947	0.5	0.294	1	Exc_7	PLCL1
GABRG21	0.000405759	0.364363124	0.343	0.174	1	Exc_7	GABRG2
THRB3	0.000437813	0.387567823	0.743	0.544	1	Exc_7	THRB
NWD23	0.000444719	0.395499251	0.371	0.196	1	Exc_7	NWD2
COL26A13	0.000447984	0.415815299	0.4	0.217	1	Exc_7	COL26A1
AK54	0.000452903	0.377704687	0.629	0.417	1	Exc_7	AK5
RAP1GAP5	0.000470815	0.348391607	0.514	0.295	1	Exc_7	RAP1GAP
MMP172	0.00047613	0.278845237	0.314	0.149	1	Exc_7	MMP17
KIAA15491	0.00047992	0.378149873	0.286	0.138	1	Exc_7	KIAA1549
PRPF40B	0.000495046	0.354335792	0.329	0.163	1	Exc_7	PRPF40B
TNPO11	0.000499594	0.383336057	0.371	0.199	1	Exc_7	TNPO1
DNAJC12	0.000521857	0.265957419	0.386	0.197	1	Exc_7	DNAJC1
FAM81A3	0.000522553	0.352975397	0.3	0.146	1	Exc_7	FAM81A
2-Sep	0.000564045	0.266852963	0.371	0.191	1	Exc_7	2-Sep
CDKL53	0.000573943	0.388529509	0.443	0.258	1	Exc_7	CDKL5
MGAT5B2	0.000594503	0.268947865	0.329	0.162	1	Exc_7	MGAT5B
NEK111	0.000596436	0.370607944	0.286	0.139	1	Exc_7	NEK11
KCNB13	0.000599168	0.299461704	0.5	0.285	1	Exc_7	KCNB1
PLXDC23	0.000604183	0.288032866	0.529	0.315	1	Exc_7	PLXDC2
GABRB24	0.000632425	0.330701031	0.629	0.414	1	Exc_7	GABRB2
LRRC28	0.000669398	0.322809359	0.343	0.176	1	Exc_7	LRRC28
GRIK5	0.000685105	0.332673018	0.271	0.13	1	Exc_7	GRIK5
NFIX2	0.000705355	0.385225281	0.3	0.146	1	Exc_7	NFIX
SMAP12	0.000713893	0.400512898	0.4	0.223	1	Exc_7	SMAP1
N4BP2L1	0.000716355	0.262889282	0.314	0.153	1	Exc_7	N4BP2L1
LRRTM34	0.000721834	0.269723243	0.614	0.384	1	Exc_7	LRRTM3
GNB1	0.000746904	0.330093144	0.414	0.234	1	Exc_7	GNB1
NPTN	0.000831005	0.334454163	0.3	0.15	1	Exc_7	NPTN
SIL1	0.00091061	0.287236856	0.486	0.276	1	Exc_7	SIL1
LIPA1	0.000999554	0.267583704	0.314	0.156	1	Exc_7	LIPA
SRGAP31	0.001124939	0.298926896	0.771	0.522	1	Exc_7	SRGAP3
NIM1K	0.001126697	0.393440033	0.371	0.213	1	Exc_7	NIM1K
FAM135A	0.001145042	0.300949537	0.4	0.224	1	Exc_7	FAM135A
CHSY34	0.001155609	0.336662003	0.629	0.435	1	Exc_7	CHSY3
ZER11	0.001177217	0.260042191	0.5	0.293	1	Exc_7	ZER1
ESYT21	0.001181532	0.411281699	0.343	0.191	1	Exc_7	ESYT2
SSBP33	0.001263468	0.259431639	0.4	0.218	1	Exc_7	SSBP3
DZIP3	0.001272416	0.299275771	0.414	0.227	1	Exc_7	DZIP3
